User Query,Intent Label
Can you explain how photosynthesis works?,Curious Intent
What was the cause for world war II?,Curious Intent
Who can bring flying cars into the world?,Curious Intent
What is the capital of France?,Precise/Urgent Intent
Who was the first president of the United States?,Precise/Urgent Intent
How long should I wait before sending a follow up email?,Precise/Urgent Intent
Where can I find the user manual for this product?,Navigational Intent
Where should I look to find research articles on breast cancer?,Navigational Intent
What should I look for to solve the A Link to the Past puzzle in Zelda?,Navigational Intent
What are the differences between iPhone and Android phones?,Comparative Intent
Compare and contrast computer science and computer engineering?,Comparative Intent
What's the difference between fertilizer and pesticide?,Comparative Intent
My phone won't turn on. Can you help me fix it?,Support/Help Intent
Why doesn't my code work?,Support/Help Intent
What can I do to deal with a punctured tire?,Support/Help Intent
What do people think about the new Tesla model?,Feedback/Opinion Intent
How do you feel about the Grammy results?,Feedback/Opinion Intent
Should America move over to a metric system?,Feedback/Opinion Intent
Is it true that the meeting is at 3 PM?,Confirmation Intent
Is 42 the meaning of life?,Confirmation Intent
My typing speed is 200 wpm right?,Confirmation Intent
Correct me if I am wrong but,Confirmation Intent
The date is,Confirmation Intent
The time is,Confirmation Intent
The location is,Confirmation Intent
Am I correct in thinking that,Confirmation Intent
Can you verify if,Confirmation Intent
Is it accurate to say that,Confirmation Intent
Just to confirm,Confirmation Intent
Can you confirm that,Confirmation Intent
Am I right in assuming that,Confirmation Intent
Would you say that,Confirmation Intent
Is this information correct?,Confirmation Intent
Does that mean,Confirmation Intent
Is it a fact that,Confirmation Intent
Let me double-check,Confirmation Intent
I just want to make sure that,Confirmation Intent
So just to be clear,Confirmation Intent
Can you clarify whether,Confirmation Intent
Please confirm if,Confirmation Intent
Am I mistaken in thinking that,Confirmation Intent
I believe that,Confirmation Intent
Is my understanding correct that,Confirmation Intent
Are you sure that,Confirmation Intent
Is this assumption correct?,Confirmation Intent
Is it right to say that,Confirmation Intent
Can you fact-check this for me?,Confirmation Intent
Do I have the right information about,Confirmation Intent
What are some interesting facts about space?,Curious Intent
When will humans have flying cars?,Curious Intent
What are some interesting facts about space?,Curious Intent
I'm feeling really stressed about work. What should I do?,Emotional Support Intent
I'm feeling burnt out. What should I do?,Emotional Support Intent
I am going through a breakup - it's been really hard.,Emotional Support Intent
What are the best restaurants near me?,Navigational Intent
How can I get to South Africa from here?,Navigational Intent
Where is the best tour guide in Ireland?,Navigational Intent
How do I reset my password?,Support/Help Intent
Where can I see my MAC address?,Support/Help Intent
How can I remove water from my keyboard?,Support/Help Intent
What are the benefits of meditation?,Curious Intent
What age does the brain usually reach full maturity?,Curious Intent
When do catholics believe Christ will be reborn?,Curious Intent
Can you compare the features of the MacBook Pro and the Dell XPS?,Comparative Intent
Charmander or Squirtle?,Comparative Intent
Which has better education out of Switzerland Sweden Canada and Denmark?,Comparative Intent
What’s the exact temperature today in Toronto?,Precise/Urgent Intent
What is the NVDA stock price right now?,Precise/Urgent Intent
When is the Nintendo Switch 2 release date?,Precise/Urgent Intent
Can you recommend a good book to read?,Feedback/Opinion Intent
When is a good time to start investing?,Feedback/Opinion Intent
How do you feel about 9/11?,Feedback/Opinion Intent
How do you perceive,Feedback/Opinion Intent
What do you think about,Feedback/Opinion Intent
When do you think I should,Feedback/Opinion Intent
Do you think this is a good idea?,Feedback/Opinion Intent
What’s your take on,Feedback/Opinion Intent
How would you rate,Feedback/Opinion Intent
What’s your opinion on,Feedback/Opinion Intent
Would you recommend,Feedback/Opinion Intent
Should I go with option A or B?,Feedback/Opinion Intent
How do you view,Feedback/Opinion Intent
Do you agree with,Feedback/Opinion Intent
What’s your perspective on,Feedback/Opinion Intent
Which one do you prefer,Feedback/Opinion Intent
What would you do in my situation?,Feedback/Opinion Intent
What are your thoughts on,Feedback/Opinion Intent
If you were me what would you choose?,Feedback/Opinion Intent
How do you interpret,Feedback/Opinion Intent
Do you have any advice on,Feedback/Opinion Intent
How do you compare X and Y?,Feedback/Opinion Intent
What’s the best choice for,Feedback/Opinion Intent
Can you share your insights on,Feedback/Opinion Intent
Would you say this is a smart decision?,Feedback/Opinion Intent
Is this a good approach?,Feedback/Opinion Intent
What are the pros and cons of,Feedback/Opinion Intent
Which do you think is better,Feedback/Opinion Intent
What are your feelings about the new policy?,Feedback/Opinion Intent
How do you find the service so far?,Feedback/Opinion Intent
What's your impression of the candidate?,Feedback/Opinion Intent
Do you believe this will work?,Feedback/Opinion Intent
What's your assessment of the situation?,Feedback/Opinion Intent
How do you see the future of this project?,Feedback/Opinion Intent
What are your opinions on the current market trends?,Feedback/Opinion Intent
Would you consider this a worthwhile investment?,Feedback/Opinion Intent
What are your thoughts on the proposed changes?,Feedback/Opinion Intent
Do you have any feedback on my performance?,Feedback/Opinion Intent
How would you describe your experience with the product?,Feedback/Opinion Intent
What's your take on the latest developments?,Feedback/Opinion Intent
Do you think this is a fair compromise?,Feedback/Opinion Intent
What's your understanding of the issue?,Feedback/Opinion Intent
How do you feel about the direction we're heading in?,Feedback/Opinion Intent
What are your views on the importance of education?,Feedback/Opinion Intent
Would you say this is a sustainable solution?,Feedback/Opinion Intent
What's your opinion on the effectiveness of the program?,Feedback/Opinion Intent
Do you have any suggestions for improvement?,Feedback/Opinion Intent
How would you evaluate the success of the campaign?,Feedback/Opinion Intent
What's your perspective on the ethical implications?,Feedback/Opinion Intent
Which option seems more viable to you?,Feedback/Opinion Intent
What are your predictions for the upcoming election?,Feedback/Opinion Intent
How do you perceive the impact of social media?,Feedback/Opinion Intent
Do you agree with the findings of the study?,Feedback/Opinion Intent
What's your take on the long-term consequences?,Feedback/Opinion Intent
Would you recommend this book to a friend?,Feedback/Opinion Intent
What are your thoughts on the role of technology in society?,Feedback/Opinion Intent
If you could change one thing what would it be?,Feedback/Opinion Intent
How do you interpret the meaning of this artwork?,Feedback/Opinion Intent
Do you have any advice for someone starting out in this field?,Feedback/Opinion Intent
How do you compare the benefits and risks?,Feedback/Opinion Intent
What's the best approach to solving this problem?,Feedback/Opinion Intent
Can you share your insights on the challenges involved?,Feedback/Opinion Intent
Would you say this is a financially sound decision?,Feedback/Opinion Intent
Is this a realistic expectation?,Feedback/Opinion Intent
What are the advantages and disadvantages of each approach?,Feedback/Opinion Intent
Which strategy do you think is most effective?,Feedback/Opinion Intent
I’m unsure about this. What do you think?,Feedback/Opinion Intent
Would you say this is worth it?,Feedback/Opinion Intent
How would you describe,Feedback/Opinion Intent
What’s the best way to relax after a long day?,Emotional Support Intent
How can I feel better about someone that passed away?,Emotional Support Intent
I did poorly on my final exam.,Emotional Support Intent
Can you confirm my appointment for tomorrow?,Confirmation Intent
I have to eat burgers tomorrow correct?,Confirmation Intent
Turtles can live over 100 years old.,Confirmation Intent
Tell me about the history of the Roman Empire.,Curious Intent
Out of curiosity how old is Mars?,Curious Intent
What biological features would humans need to be able to fly?,Curious Intent
What are the pros and cons of working remotely?,Comparative Intent
Give me the advantages and disadvantages of using a microwave.,Comparative Intent
What benefits could the tariffs provide to Canada? What could be the downsides?,Comparative Intent
How does the human brain process emotions?,Curious Intent
Why do some animals hibernate during winter?,Curious Intent
What causes the northern lights?,Curious Intent
Can you explain how black holes work?,Curious Intent
What time does the last train leave?,Precise/Urgent Intent
How many states are there in the U.S.?,Precise/Urgent Intent
