ID	Sentence	Detected as
1	library#01	All material that is stored in the repository will enter <referential>it</referential> via the Ingest function.	NOCUOUS
2	library#02-1	The Library may want to accept important digital materials in non-standard formats in case <referential>we</referential> are able to migrate them to a more usable format in the future.	NOCUOUS
3	library#02-2	The Library may want to accept important digital materials in non-standard formats in case we are able to migrate <referential>them</referential> to a more usable format in the future.	INNOCUOUS
4	library#03	Once material has arrived, <referential>it</referential> must undergo several reviews, including virus checking, format compliance and anticipated content and file type.	INNOCUOUS
5	library#04	Allows resources to be reviewed before a decision is made whether <referential>they</referential> should be retained.	INNOCUOUS
6	library#05	Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to <referential>their</referential> corresponding objects via an identifier.	INNOCUOUS
7	library#06	The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers <referential>it</referential> to the Data Management entity along with a database update request.	NOCUOUS
8	library#07	Archival Storage functions include receiving AIPs from Ingest and adding <referential>them</referential> to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.	INNOCUOUS
9	library#08	<referential>It</referential> will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP.	NOCUOUS
10	library#09	<referential>It</referential> monitors error logs to ensure AIPs are not corrupted during transfers.	NOCUOUS
11	library#10	However, the data constituting the Packaging Information may be changed as long as <referential>it</referential> continues to perform the same function and there is a straightforward implementation that does not cause information loss.	NOCUOUS
12	library#11	The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, <referential>their</referential> performance, and <referential>their</referential> costs of ownership.	INNOCUOUS
13	library#12	This function receives an AIP request that identifies the requested AIP(s) and provides <referential>them</referential> on the requested media type or transfers <referential>them</referential> to a staging area.	INNOCUOUS
14	library#13	The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that <referential>it</referential> supplies to the requester.	NOCUOUS
15	library#14	<referential>It</referential> may also receive a report request from Access and provides descriptive information for a specific AIP.	NOCUOUS
16	library#15	Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that <referential>they</referential> meet archive standards, and maintaining configuration management of system hardware and software.	NOCUOUS
17	library#16	Audits data in SIPs or AIPs to ensure that <referential>they</referential> meet specified requirements.	NOCUOUS
18	library#17	The Activate Requests function maintains a record of event-driven requests and periodically compares <referential>it</referential> to the contents of the archive to determine if all needed data is available.	NOCUOUS
19	library#18	Maintains a record of event-driven events and compares <referential>it</referential> to the contents of the repository.	INNOCUOUS
20	library#19	The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in <referential>their</referential> service requirements and available product technologies.	INNOCUOUS
21	library#20	Interacts with repository users and content providers to track changes in <referential>their</referential> service requirements and available product technologies.	NOCUOUS
22	library#21	This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and <referential>it</referential> receives performance information, inventory reports and summarized consumer comments from Administration.	INNOCUOUS
23	library#22	This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS
24	library#23	Produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS
25	library#24	The NLM will test preservation actions in order to determine <referential>their</referential> effectiveness across a range of digital objects.	NOCUOUS
26	library#25	The NLM System Administration/Programming Access, ultimate rights to the system, required for <referential>its</referential> management, development, and for assigning appropriate rights to users.	NOCUOUS
27	weather#01	The Clarus system shall process data as <referential>they</referential> are received.	INNOCUOUS
28	weather#02	The Clarus system shall be able to base <referential>its</referential> quality control process on values from multiple observations.	INNOCUOUS
29	weather#03	The Clarus system shall be able to communicate with RWIS databases through <referential>their</referential> native interfaces.	INNOCUOUS
30	weather#04	The Clarus system shall be able to collect data from sources within 5 minutes of <referential>them</referential> becoming available.	NOCUOUS
31	weather#05	The CAS shall be configurable to allow new observation types to be implemented as <referential>they</referential> become available.	INNOCUOUS
32	weather#06	The CS shall collect environmental data based on <referential>its</referential> configured schedule.	NOCUOUS
33	weather#07	The CS shall be able to dynamically adjust <referential>its</referential> retrieval schedules when environmental data is expected to be ready but is temporarily delayed.	INNOCUOUS
34	weather#08	The CS shall process environmental data as <referential>they</referential> are received.	INNOCUOUS
35	weather#09	The Clarus system shall be able to communicate with environmental sensor stations through <referential>its</referential> collector using the NTCIP ESS 1204.	NOCUOUS
36	weather#10	The CS shall be able to accept data from an RWIS database in <referential>its</referential> native output format.	NOCUOUS
37	weather#11	The Clarus system shall be able to communicate with an individual ESS through <referential>its</referential> native interface.	NOCUOUS
38	weather#12	The DOG shall be able to monitor new environmental data services as <referential>they</referential> are added.	INNOCUOUS
39	weather#13	The DOG shall be able to record <referential>its</referential> activities.	INNOCUOUS
40	weather#14	The QEDC shall maintain observations and <referential>their</referential> associated quality flags for seven days.	INNOCUOUS
41	weather#15	The QEDC shall support queries for <referential>its</referential> observations.	INNOCUOUS
42	weather#16	The QEDS shall log <referential>their</referential> activities.	NOCUOUS
43	weather#17	The QChS shall be able to base <referential>its</referential> quality checking process on values distributed in time.	INNOCUOUS
44	weather#18	The contributors shall define the units of measurements of <referential>their</referential> shared data and information.	INNOCUOUS
45	weather#19	The Clarus program shall determine how <referential>it</referential> will provide data and information to contributors.	INNOCUOUS
46	weather#20	"""The Clarus program shall inform contributors of the acceptance and use"""" of <referential>their</referential> data and information."""""""	INNOCUOUS
47	railway#01	The logon screen shall activate command control for the user if the user requests <referential>it</referential> and has authorization.	INNOCUOUS
48	railway#02	When a device status has been overridden, on the screen <referential>it</referential> shall appear with different color from the normal and alarm status colors.	INNOCUOUS
49	railway#03	<referential>It</referential> shall display and allow modification of all database tables with the exception of log tables.	NOCUOUS
50	railway#04	The user should not be able to update log entries other than for <referential>their</referential> own login, for the current day and current shift.	NOCUOUS
51	railway#05	Any change in device state shall be reported on the screen not later than 2 seconds from the time <referential>it</referential> occurs.	INNOCUOUS
52	railway#06-1	When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify <referential>it</referential> and all its associated device sensors.	NOCUOUS
53	railway#06-2	When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all <referential>its</referential> associated device sensors.	NOCUOUS
54	railway#07	The RLCS software shall initialize each control unit and device sensor as <referential>it</referential> is identified.	NOCUOUS
55	railway#08	The devices can be manually controlled/operated from <referential>their</referential> cabinets (e.g.: Gates).	INNOCUOUS
56	railway#09	The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in <referential>its</referential> closed state after hours.	INNOCUOUS
57	railway#10	The ETCS shall provide the driver with information to allow <referential>him</referential> to drive the train safely.	INNOCUOUS
58	railway#11-1	If the supervision is performed by a RBC <referential>it</referential> shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.	NOCUOUS
59	railway#11-2	If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in <referential>its</referential> area if not authorised by the RBC.	NOCUOUS
60	railway#12	<referential>It</referential> shall be possible to implement one or more of the ETCS application levels on a line.	INNOCUOUS
61	railway#13	The ETCS shall be compatible with existing national systems listed in the CCS TSI such that <referential>it</referential> does not interfere with the national systems and is not interfered with by the national systems.	INNOCUOUS
62	railway#14	If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which <referential>it</referential> is equipped.	INNOCUOUS
63	railway#15	On request of the RBC, the driver shall have the possibility to confirm that the track ahead of <referential>him</referential> until the end of the on sight section is clear .	INNOCUOUS
64	railway#16	The braking curves shall ensure that the train complies with <referential>its</referential> speed requirements.	INNOCUOUS
65	railway#17	If the release speed is calculated on board <referential>it</referential> shall ensure that the train will stop before reaching the danger point .	NOCUOUS
66	railway#18	A train shall be supervised to <referential>its</referential> static and dynamic train speed profiles.	INNOCUOUS
67	railway#19	Within the braking curve area, a warning shall be given to the driver to enable <referential>him</referential> to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.	INNOCUOUS
68	railway#20	The ETCS trainborne equipment shall transmit <referential>its</referential> own train identification to the RBC.	INNOCUOUS
69	railway#21	If a train cannot stop at the proposed new target location <referential>it</referential> shall reject the request and keep the old target location.	NOCUOUS
70	railway#22	The train may proceed unrestricted to the end of <referential>its</referential> movement authority.	INNOCUOUS
71	railway#23	<referential>It</referential> is acceptable that only one mobile user involved in the group call may talk at any time.	INNOCUOUS
72	railway#24	If the text message facility is implemented, <referential>it</referential> shall not interfere with the ability of users to make or receive high priority voice or data calls.	INNOCUOUS
73	railway#25	Where fax functionality is provided, <referential>it</referential> shall be possible to interrupt the fax to make or receive a high priority voice or data call.	NOCUOUS
